ID_Cliente,Evasion,Genero,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Meses_Contrato,Servicio_Telefono,Multiples_Lineas,Tipo_Internet,Seguridad_Online,Backup_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Tipo_Contrato,Factura_Digital,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Iipo_Internet,Cuentas_Diarias
2951-Qoqtk,Sí,Masculino,0,No,Sí,4,Sí,Sí,Fibra Optica,No,No,No,Sí,No,No,Mensual,No,Tarjeta De Crédito (Automático),80.8,332.45,Fiber Optic,2.69
2952-Qayzf,Sí,Masculino,0,No,No,5,Sí,Sí,Fibra Optica,No,Sí,Sí,No,No,No,Mensual,Yes,Cheque Electronico,85.3,424.15,Fiber Optic,2.84
2954-Pibko,No,Femenino,0,Sí,Sí,69,Sí,Sí,Dsl,Sí,No,Sí,Sí,No,No,Bienal,Yes,Tarjeta De Crédito (Automático),64.15,4254.1,Dsl,2.14
2955-Bjzhg,Sí,Masculino,0,Sí,Sí,17,Sí,No,Fibra Optica,No,No,No,No,Sí,No,Mensual,No,Cheque Electronico,80.85,1400.85,Fiber Optic,2.7
2955-Psxoe,Sí,Femenino,0,No,No,1,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,Yes,Transferencia Bancaria (Automática),20.2,20.2,No,0.67
2956-Ggucq,Sí,Masculino,1,Sí,No,24,Sí,Sí,Fibra Optica,Sí,No,No,No,No,No,Mensual,Yes,Cheque Electronico,78.85,1772.25,Fiber Optic,2.63
2957-Jirmn,No,Femenino,1,No,No,62,Sí,Sí,Fibra Optica,No,No,No,No,Sí,No,Anual,No,Cheque Electronico,84.45,4959.15,Fiber Optic,2.82
2957-Lolho,Sí,Masculino,0,No,No,12,Sí,No,Dsl,No,No,No,No,No,No,Mensual,Yes,Transferencia Bancaria (Automática),45.4,518.9,Dsl,1.51
2958-Nhpps,No,Masculino,0,No,No,23,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,No,Cheque Electronico,20.85,473.9,No,0.7
2959-Eexwb,No,Femenino,0,Sí,Sí,45,No,Sin Servicio De Teléfono,Dsl,Sí,No,No,No,Sí,Sí,Mensual,Yes,Transferencia Bancaria (Automática),50.9,2333.85,Dsl,1.7
2959-Fenlu,No,Femenino,0,No,No,9,Sí,No,Fibra Optica,No,No,Sí,No,No,Sí,Mensual,Yes,Tarjeta De Crédito (Automático),85.3,781.4,Fiber Optic,2.84
2959-Mjhic,Sí,Masculino,0,Sí,No,4,Sí,No,Fibra Optica,No,No,No,No,Sí,No,Mensual,Yes,Cheque Electronico,80.35,307.4,Fiber Optic,2.68
2960-Nkrso,No,Masculino,0,No,No,24,Sí,No,Fibra Optica,No,Sí,Sí,Sí,No,No,Mensual,Yes,Cheque Electronico,85.95,2107.15,Fiber Optic,2.86
2961-Vnfkl,No,Femenino,0,Sí,No,71,Sí,Sí,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,Yes,Tarjeta De Crédito (Automático),25.95,1801.9,No,0.86
2962-Xpmcq,Sí,Masculino,0,No,No,2,Sí,No,Dsl,No,No,No,No,No,No,Mensual,Yes,Cheque Electronico,45.15,98.5,Dsl,1.5
2967-Mxrav,No,Masculino,0,Sí,Sí,1,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Anual,No,Cheque Enviado,18.8,18.8,No,0.63
2968-Ssgaa,Sí,Femenino,0,No,No,10,Sí,Sí,Fibra Optica,No,No,Sí,No,Sí,Sí,Mensual,Yes,Cheque Electronico,100.6,1060.2,Fiber Optic,3.35
2969-Qwubz,No,Femenino,0,No,No,2,No,Sin Servicio De Teléfono,Dsl,No,Sí,No,No,Sí,Sí,Mensual,No,Cheque Electronico,51.4,96.8,Dsl,1.71
2969-Vapyh,No,Femenino,0,No,No,67,Sí,No,Dsl,Sí,Sí,No,Sí,No,No,Anual,No,Tarjeta De Crédito (Automático),60.5,3870.0,Dsl,2.02
2969-Wghqo,No,Femenino,0,Sí,Sí,7,Sí,No,Dsl,Sí,Sí,Sí,No,Sí,No,Anual,No,Cheque Electronico,69.45,477.05,Dsl,2.32
2971-Sgafl,No,Femenino,0,No,No,13,Sí,Sí,Dsl,Sí,No,Sí,No,Sí,Sí,Mensual,Yes,Cheque Electronico,78.75,995.35,Dsl,2.62
2972-Ydyuw,No,Femenino,0,No,No,57,Sí,Sí,Fibra Optica,No,Sí,No,Sí,No,Sí,Anual,No,Cheque Electronico,94.7,5468.95,Fiber Optic,3.16
2974-Gguxs,No,Femenino,1,Sí,No,36,Sí,Sí,Fibra Optica,No,Sí,No,No,Sí,No,Mensual,Yes,Tarjeta De Crédito (Automático),91.95,3301.05,Fiber Optic,3.06
2977-Cebsx,No,Femenino,0,No,No,66,Sí,Sí,Dsl,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Tarjeta De Crédito (Automático),90.05,5965.95,Dsl,3.0
2978-Xxsog,No,Femenino,0,No,No,22,Sí,Sí,Dsl,Sí,No,No,Sí,No,No,Mensual,Yes,Cheque Enviado,59.05,1253.5,Dsl,1.97
2979-Sxese,Sí,Femenino,0,Sí,Sí,17,Sí,Sí,Fibra Optica,Sí,No,Sí,No,Sí,No,Mensual,No,Cheque Electronico,94.4,1607.2,Fiber Optic,3.15
2982-Ihmft,Sí,Femenino,1,No,No,1,Sí,Sí,Fibra Optica,No,No,No,No,No,No,Mensual,Yes,Cheque Enviado,74.45,74.45,Fiber Optic,2.48
2982-Vpsgi,Sí,Femenino,0,Sí,No,11,Sí,Sí,Fibra Optica,No,No,No,No,Sí,Sí,Mensual,Yes,Cheque Electronico,94.0,1078.9,Fiber Optic,3.13
2983-Zanrp,Sí,Femenino,0,Sí,Sí,2,Sí,No,Fibra Optica,No,Sí,No,No,No,No,Mensual,Yes,Transferencia Bancaria (Automática),73.55,145.4,Fiber Optic,2.45
2984-Afwnc,No,Femenino,0,No,No,3,Sí,No,Fibra Optica,No,Sí,No,No,Sí,Sí,Mensual,No,Cheque Electronico,95.4,293.15,Fiber Optic,3.18
2984-Miizl,Sí,Masculino,0,No,No,4,Sí,No,Fibra Optica,No,No,Sí,No,No,No,Mensual,Yes,Transferencia Bancaria (Automática),74.8,321.9,Fiber Optic,2.49
2984-Rgeya,No,Femenino,0,Sí,Sí,69,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,No,Transferencia Bancaria (Automática),19.75,1375.4,No,0.66
2984-Tbyku,No,Masculino,0,Sí,Sí,72,Sí,Sí,Fibra Optica,Sí,Sí,Sí,Sí,No,Sí,Bienal,Yes,Tarjeta De Crédito (Automático),104.9,7732.65,Fiber Optic,3.5
2985-Fmwyf,No,Femenino,0,No,No,23,Sí,Sí,Fibra Optica,No,No,No,No,Sí,Sí,Mensual,Yes,Cheque Electronico,93.5,2341.55,Fiber Optic,3.12
2985-Juubz,No,Masculino,0,Sí,Sí,40,Sí,Sí,Dsl,No,No,Sí,No,Sí,Sí,Mensual,Yes,Cheque Electronico,74.55,3015.75,Dsl,2.48
2987-Bjxik,No,Femenino,0,No,No,70,Sí,Sí,Dsl,Sí,Sí,Sí,No,Sí,Sí,Bienal,No,Cheque Enviado,84.7,5991.05,Dsl,2.82
2988-Gbivw,No,Femenino,1,Sí,No,70,Sí,Sí,Fibra Optica,Sí,No,No,No,No,Sí,Mensual,Yes,Cheque Electronico,90.85,6470.1,Fiber Optic,3.03
2988-Plahs,No,Femenino,0,No,No,3,Sí,No,Dsl,No,No,Sí,No,Sí,Sí,Anual,Yes,Cheque Electronico,69.95,220.45,Dsl,2.33
2988-Qrajy,No,Masculino,0,No,No,69,Sí,Sí,Fibra Optica,Sí,Sí,Sí,No,Sí,Sí,Bienal,Yes,Tarjeta De Crédito (Automático),110.05,7430.75,Fiber Optic,3.67
2990-Hwiml,Sí,Femenino,0,No,No,6,Sí,No,Fibra Optica,No,No,No,No,Sí,Sí,Mensual,Yes,Cheque Electronico,89.5,573.3,Fiber Optic,2.98
2990-Iajsv,No,Masculino,0,No,No,72,Sí,Sí,Dsl,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,No,Transferencia Bancaria (Automática),92.0,6632.75,Dsl,3.07
2990-Ogytd,No,Femenino,0,Sí,No,67,Sí,Sí,Dsl,No,Sí,Sí,Sí,Sí,Sí,Bienal,No,Transferencia Bancaria (Automática),86.15,5883.85,Dsl,2.87
2995-Uprys,Sí,Femenino,1,Sí,No,40,Sí,No,Fibra Optica,No,Sí,No,Sí,Sí,Sí,Anual,Yes,Tarjeta De Crédito (Automático),99.2,4062.2,Fiber Optic,3.31
2995-Ywtcd,No,Femenino,0,Sí,Sí,19,Sí,Sí,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,Yes,Transferencia Bancaria (Automática),24.9,467.7,No,0.83
2996-Xauvf,No,Masculino,0,No,No,70,No,Sin Servicio De Teléfono,Dsl,No,No,No,Sí,No,Sí,Bienal,Yes,Cheque Enviado,40.05,2799.75,Dsl,1.34
2999-Aanrq,No,Femenino,0,No,No,21,Sí,No,Dsl,Sí,Sí,No,Sí,Sí,No,Bienal,No,Tarjeta De Crédito (Automático),71.05,1524.85,Dsl,2.37
3001-Cbhlq,Sí,Masculino,1,Sí,No,32,Sí,Sí,Fibra Optica,No,No,Sí,Sí,Sí,Sí,Mensual,Yes,Cheque Electronico,104.9,3351.55,Fiber Optic,3.5
3001-Unbtl,No,Masculino,1,Sí,Sí,29,Sí,Sí,Fibra Optica,No,No,Sí,No,Sí,Sí,Mensual,Yes,Cheque Electronico,103.95,2964.8,Fiber Optic,3.47
3002-Wqzwt,No,Femenino,0,No,No,29,Sí,Sí,Fibra Optica,No,No,No,No,No,No,Mensual,Yes,Cheque Electronico,74.2,1993.25,Fiber Optic,2.47
3003-Cmduu,No,Femenino,0,Sí,No,25,Sí,No,Fibra Optica,No,No,No,Sí,Sí,Sí,Mensual,Yes,Cheque Electronico,95.15,2395.7,Fiber Optic,3.17
3005-Nfmta,Sí,Masculino,1,No,No,55,Sí,Sí,Fibra Optica,Sí,No,No,No,Sí,Sí,Mensual,Yes,Cheque Electronico,98.8,5617.75,Fiber Optic,3.29
3005-Tyfrd,No,Femenino,0,Sí,No,55,Sí,Sí,Fibra Optica,No,Sí,Sí,No,Sí,Sí,Mensual,Yes,Tarjeta De Crédito (Automático),103.65,5676.65,Fiber Optic,3.46
3006-Ximln,Sí,Femenino,0,No,Sí,2,Sí,Sí,Fibra Optica,No,No,No,No,Sí,Sí,Mensual,Yes,Transferencia Bancaria (Automática),94.2,193.8,Fiber Optic,3.14
3007-Fdpea,No,Femenino,0,No,No,2,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,Yes,Transferencia Bancaria (Automática),20.7,39.85,No,0.69
3009-Jwmpu,Sí,Masculino,0,No,No,62,Sí,Sí,Fibra Optica,No,No,Sí,No,Sí,Sí,Anual,Yes,Cheque Electronico,96.75,6125.4,Fiber Optic,3.22
3011-Wqksz,No,Masculino,0,No,Sí,19,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,Yes,Cheque Electronico,20.0,377.55,No,0.67
3012-Vffmn,No,Femenino,0,Sí,Sí,7,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,No,Cheque Enviado,20.65,158.95,No,0.69
3014-Wjksm,No,Masculino,0,Sí,No,29,Sí,No,Fibra Optica,No,No,Sí,No,No,No,Mensual,Yes,Tarjeta De Crédito (Automático),75.3,2263.4,Fiber Optic,2.51
3016-Ksvcp,No,Masculino,0,Sí,No,29,No,Sin Servicio De Teléfono,Dsl,No,No,No,No,Sí,No,Mensual,No,Cheque Enviado,33.75,1009.25,Dsl,1.12
3018-Tftsu,Sí,Masculino,0,No,No,12,Sí,No,Fibra Optica,Sí,No,Sí,No,No,No,Mensual,No,Transferencia Bancaria (Automática),81.7,858.6,Fiber Optic,2.72
3021-Vlnrj,No,Femenino,0,No,Sí,50,Sí,No,Dsl,Sí,No,Sí,Sí,Sí,No,Anual,Yes,Tarjeta De Crédito (Automático),70.8,3478.15,Dsl,2.36
3022-Bexhz,No,Masculino,0,Sí,Sí,67,Sí,Sí,Fibra Optica,No,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Transferencia Bancaria (Automática),111.2,7530.8,Fiber Optic,3.71
3023-Gflbr,Sí,Femenino,0,Sí,Sí,33,Sí,Sí,Fibra Optica,No,No,No,No,No,Sí,Mensual,No,Tarjeta De Crédito (Automático),86.15,2745.7,Fiber Optic,2.87
3026-Atzyv,No,Femenino,0,Sí,Sí,37,Sí,No,Dsl,Sí,Sí,No,No,Sí,Sí,Anual,No,Transferencia Bancaria (Automática),75.1,2658.8,Dsl,2.5
3027-Ynwzu,No,Femenino,0,Sí,No,64,Sí,Sí,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,No,Tarjeta De Crédito (Automático),25.0,1584.8,No,0.83
3027-Ztdho,Sí,Masculino,0,No,No,1,Sí,No,Fibra Optica,No,No,No,No,Sí,Sí,Mensual,Yes,Cheque Electronico,89.9,89.9,Fiber Optic,3.0
3030-Ydnrm,No,Masculino,0,No,No,8,Sí,Sí,Fibra Optica,No,No,No,No,No,No,Mensual,Yes,Cheque Electronico,74.85,572.45,Fiber Optic,2.49
3030-Yzadt,Sí,Masculino,0,No,No,9,Sí,No,Dsl,No,No,No,No,No,No,Mensual,No,Cheque Enviado,44.95,431.0,Dsl,1.5
3030-Zkiwl,No,Masculino,0,No,No,1,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,No,Cheque Enviado,20.05,20.05,No,0.67
3034-Zbeqn,Sí,Femenino,0,Sí,No,48,No,Sin Servicio De Teléfono,Dsl,No,Sí,Sí,No,No,No,Anual,No,Cheque Enviado,34.7,1604.5,Dsl,1.16
3038-Pqiuy,No,Femenino,0,No,No,38,Sí,Sí,Dsl,Sí,Sí,Sí,No,No,No,Mensual,Yes,Transferencia Bancaria (Automática),66.15,2522.4,Dsl,2.2
3039-Mjsln,No,Masculino,0,No,Sí,3,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,No,Transferencia Bancaria (Automática),20.2,50.6,No,0.67
3043-Sudua,No,Femenino,0,No,No,32,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,No,Transferencia Bancaria (Automática),19.9,601.55,No,0.66
3043-Tybno,No,Masculino,0,No,No,3,Sí,No,Dsl,No,No,No,Sí,No,Sí,Mensual,No,Cheque Enviado,60.65,196.9,Dsl,2.02
3045-Xetsh,Sí,Femenino,0,No,No,10,Sí,Sí,Fibra Optica,No,Sí,Sí,No,No,Sí,Mensual,Yes,Cheque Electronico,94.85,953.45,Fiber Optic,3.16
3049-Ndxfl,Sí,Femenino,0,No,No,1,Sí,Sí,Fibra Optica,No,No,No,No,No,Sí,Mensual,No,Cheque Enviado,85.8,85.8,Fiber Optic,2.86
3049-Solay,Sí,Femenino,0,Sí,No,3,Sí,Sí,Fibra Optica,No,No,No,No,Sí,Sí,Mensual,Yes,Cheque Electronico,95.2,292.85,Fiber Optic,3.17
3050-Gbush,No,Femenino,0,No,No,3,No,Sin Servicio De Teléfono,Dsl,No,No,No,No,Sí,No,Mensual,Yes,Tarjeta De Crédito (Automático),34.8,113.95,Dsl,1.16
3050-Rllxc,No,Femenino,0,Sí,Sí,56,Sí,Sí,Dsl,Sí,Sí,Sí,Sí,Sí,No,Bienal,No,Tarjeta De Crédito (Automático),81.25,4620.4,Dsl,2.71
3055-Mjdsb,No,Masculino,0,No,No,9,No,Sin Servicio De Teléfono,Dsl,No,No,No,No,No,No,Mensual,Yes,Cheque Enviado,24.6,190.1,Dsl,0.82
3055-Oymse,No,Femenino,1,No,No,53,Sí,No,Fibra Optica,No,Sí,No,No,No,No,Mensual,Yes,Tarjeta De Crédito (Automático),73.8,4003.85,Fiber Optic,2.46
3055-Vtcgs,No,Femenino,0,No,No,63,Sí,No,Dsl,No,No,Sí,No,No,Sí,Anual,No,Tarjeta De Crédito (Automático),58.55,3503.5,Dsl,1.95
3057-Vjjqe,No,Masculino,0,No,No,35,Sí,Sí,Dsl,Sí,No,No,No,No,No,Bienal,No,Cheque Enviado,55.25,1924.1,Dsl,1.84
3058-Hjcuy,Sí,Masculino,0,Sí,Sí,41,Sí,Sí,Fibra Optica,No,No,Sí,Sí,Sí,Sí,Anual,Yes,Cheque Electronico,102.6,4213.35,Fiber Optic,3.42
3058-Wqdre,No,Masculino,0,No,No,13,No,Sin Servicio De Teléfono,Dsl,No,No,No,No,No,No,Mensual,Yes,Transferencia Bancaria (Automática),25.15,331.85,Dsl,0.84
3059-Ngmxb,No,Masculino,0,Sí,Sí,14,Sí,Sí,Dsl,Sí,Sí,No,No,No,Sí,Mensual,No,Cheque Enviado,69.2,944.65,Dsl,2.31
3061-Bckyi,No,Masculino,0,No,No,14,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,No,Cheque Enviado,19.9,283.75,No,0.66
3062-Icyzq,No,Femenino,0,Sí,Sí,51,Sí,Sí,Fibra Optica,Sí,Sí,No,No,No,Sí,Mensual,Yes,Cheque Electronico,93.8,4539.35,Fiber Optic,3.13
3063-Qfszl,Sí,Femenino,0,No,No,1,Sí,No,Dsl,No,No,No,No,No,Sí,Mensual,Yes,Cheque Electronico,55.4,55.4,Dsl,1.85
3066-Rrjio,Sí,Femenino,0,No,No,1,Sí,No,Fibra Optica,No,No,No,No,No,No,Mensual,Yes,Cheque Enviado,69.95,69.95,Fiber Optic,2.33
3067-Svmtc,No,Femenino,0,Sí,No,68,Sí,No,Dsl,Sí,No,No,Sí,No,No,Anual,No,Transferencia Bancaria (Automática),55.9,3848.8,Dsl,1.86
3068-Omwza,Sí,Masculino,1,No,No,1,Sí,Sí,Fibra Optica,No,No,Sí,No,Sí,No,Mensual,Yes,Cheque Electronico,88.8,88.8,Fiber Optic,2.96
3069-Ssvsn,No,Femenino,0,No,No,1,No,Sin Servicio De Teléfono,Dsl,No,No,No,No,No,No,Anual,No,Cheque Enviado,25.85,25.85,Dsl,0.86
3070-Bdoqc,No,Femenino,0,No,No,60,Sí,No,Fibra Optica,No,Sí,Sí,No,Sí,Sí,Bienal,Yes,Cheque Electronico,99.65,5941.05,Fiber Optic,3.32
3070-Dveyc,Sí,Masculino,1,No,No,7,Sí,Sí,Fibra Optica,No,No,No,No,No,No,Mensual,No,Cheque Enviado,73.75,545.15,Fiber Optic,2.46
3070-Fnfzq,No,Femenino,0,Sí,Sí,23,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,No,Transferencia Bancaria (Automática),20.4,478.75,No,0.68
3071-Mvjcd,No,Masculino,0,Sí,Sí,72,Sí,Sí,Dsl,Sí,Sí,Sí,Sí,Sí,No,Bienal,No,Transferencia Bancaria (Automática),82.3,5815.15,Dsl,2.74
3071-Vbypo,No,Masculino,0,Sí,Sí,3,Sí,No,Fibra Optica,Sí,Sí,No,No,Sí,No,Mensual,No,Cheque Electronico,89.85,248.4,Fiber Optic,2.99
3074-Gqwyx,Sí,Masculino,0,No,No,5,Sí,Sí,Fibra Optica,No,No,No,No,No,No,Mensual,Yes,Transferencia Bancaria (Automática),75.9,357.75,Fiber Optic,2.53
3077-Rsntj,No,Femenino,0,Sí,Sí,6,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,No,Cheque Enviado,19.7,113.5,No,0.66
3078-Zknts,No,Femenino,0,Sí,Sí,13,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,Yes,Transferencia Bancaria (Automática),19.75,246.7,No,0.66
3079-Bchln,No,Masculino,0,Sí,No,47,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Anual,No,Transferencia Bancaria (Automática),19.9,942.95,No,0.66
3082-Vqxnh,No,Masculino,0,Sí,No,3,No,Sin Servicio De Teléfono,Dsl,No,Sí,No,No,No,No,Mensual,No,Tarjeta De Crédito (Automático),29.8,94.4,Dsl,0.99
3082-Wqrvy,No,Masculino,1,Sí,No,14,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Anual,No,Cheque Enviado,19.65,228.65,No,0.65
3082-Yvekw,No,Femenino,0,Sí,Sí,23,Sí,Sí,Dsl,Sí,No,Sí,Sí,Sí,No,Bienal,Yes,Transferencia Bancaria (Automática),77.15,1759.4,Dsl,2.57
3084-Dowle,No,Femenino,0,Sí,No,72,Sí,Sí,Dsl,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,No,Transferencia Bancaria (Automática),92.0,6474.4,Dsl,3.07
3085-Quozk,Sí,Femenino,0,No,No,1,Sí,No,Dsl,No,No,No,No,No,No,Mensual,No,Cheque Enviado,43.95,43.95,Dsl,1.46
3086-Rucrn,No,Femenino,0,No,No,66,Sí,Sí,Fibra Optica,Sí,Sí,Sí,Sí,No,Sí,Mensual,Yes,Transferencia Bancaria (Automática),103.1,6595.0,Fiber Optic,3.44
3088-Fvywk,No,Masculino,0,Sí,Sí,53,Sí,Sí,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,No,Tarjeta De Crédito (Automático),25.55,1336.1,No,0.85
3088-Lhefh,No,Femenino,0,No,No,11,Sí,Sí,Fibra Optica,Sí,No,No,No,No,No,Mensual,Yes,Transferencia Bancaria (Automática),79.0,929.3,Fiber Optic,2.63
3090-Hawsu,Sí,Masculino,0,No,No,61,Sí,Sí,Fibra Optica,Sí,No,Sí,Sí,Sí,Sí,Bienal,Yes,Tarjeta De Crédito (Automático),111.6,6876.05,Fiber Optic,3.72
3090-Letty,No,Masculino,0,No,Sí,2,Sí,Sí,Dsl,Sí,Sí,No,No,No,No,Mensual,No,Transferencia Bancaria (Automática),60.95,134.6,Dsl,2.03
3090-Qfuvd,No,Femenino,0,No,No,1,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,No,Tarjeta De Crédito (Automático),20.3,20.3,No,0.68
3091-Fyhki,Sí,Masculino,0,No,No,1,No,Sin Servicio De Teléfono,Dsl,No,No,No,No,No,Sí,Mensual,Yes,Cheque Electronico,35.45,35.45,Dsl,1.18
3092-Ighwf,Sí,Masculino,0,Sí,Sí,67,Sí,Sí,Fibra Optica,No,Sí,Sí,No,No,No,Anual,No,Cheque Electronico,87.4,5918.8,Fiber Optic,2.91
3094-Jojai,No,Masculino,0,No,No,18,Sí,Sí,Fibra Optica,No,No,No,No,No,No,Mensual,No,Cheque Enviado,74.15,1387.0,Fiber Optic,2.47
3096-Gkweb,No,Masculino,0,Sí,No,18,Sí,Sí,Fibra Optica,No,No,No,No,Sí,Sí,Mensual,Yes,Cheque Electronico,94.75,1691.9,Fiber Optic,3.16
3096-Izetn,Sí,Femenino,0,No,No,12,Sí,No,Fibra Optica,No,No,No,No,No,Sí,Mensual,No,Transferencia Bancaria (Automática),78.1,947.3,Fiber Optic,2.6
3096-Jrdso,Sí,Femenino,1,Sí,No,27,Sí,Sí,Fibra Optica,Sí,No,No,Sí,Sí,Sí,Mensual,Yes,Transferencia Bancaria (Automática),104.3,2867.75,Fiber Optic,3.48
3096-Wpxbt,No,Femenino,0,Sí,Sí,61,Sí,Sí,Fibra Optica,Sí,Sí,Sí,No,No,Sí,Anual,Yes,Tarjeta De Crédito (Automático),100.7,6018.65,Fiber Optic,3.36
3096-Yxenj,No,Femenino,0,Sí,No,65,Sí,Sí,Fibra Optica,No,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Transferencia Bancaria (Automática),107.65,7082.85,Fiber Optic,3.59
3097-Fqtvj,No,Femenino,0,No,No,41,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Bienal,No,Cheque Enviado,20.0,810.3,No,0.67
3097-Idvpu,No,Masculino,0,Sí,Sí,19,Sí,Sí,Dsl,No,No,No,No,No,No,Mensual,No,Tarjeta De Crédito (Automático),50.1,910.45,Dsl,1.67
3097-Nnspb,Sí,Femenino,0,No,No,2,Sí,No,Dsl,No,Sí,No,No,No,No,Mensual,Yes,Tarjeta De Crédito (Automático),49.05,91.1,Dsl,1.64
3097-Nqysn,Sí,Masculino,1,Sí,No,2,Sí,Sí,Fibra Optica,No,No,No,No,Sí,No,Mensual,Yes,Cheque Enviado,86.85,156.35,Fiber Optic,2.9
3097-Pywxl,No,Femenino,0,Sí,Sí,4,Sí,No,Sin Servicio,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Sin Servicio De Internet,Mensual,Yes,Cheque Electronico,19.95,82.9,No,0.66
3099-Oonvs,No,Masculino,0,Sí,Sí,25,Sí,No,Dsl,Sí,No,No,Sí,No,No,Mensual,No,Cheque Electronico,54.3,1296.8,Dsl,1.81
3104-Owcgk,Sí,Masculino,0,Sí,Sí,60,Sí,No,Fibra Optica,No,Sí,Sí,No,Sí,No,Anual,No,Cheque Electronico,90.95,5453.4,Fiber Optic,3.03
3106-Ulwfw,Sí,Femenino,0,Sí,No,8,Sí,Sí,Fibra Optica,No,No,No,No,No,Sí,Mensual,Yes,Tarjeta De Crédito (Automático),85.2,627.4,Fiber Optic,2.84
3108-Pccgg,No,Masculino,1,Sí,No,72,Sí,Sí,Dsl,Sí,Sí,Sí,No,Sí,Sí,Bienal,No,Tarjeta De Crédito (Automático),84.45,5899.85,Dsl,2.82
